failed to get console mode for stdout: The handle is invalid.
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.234817514Z level=info msg=starting module=*supportbundlesimpl.Service
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.234850515Z level=info msg=starting module=*remotecache.RemoteCache
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.234872515Z level=info msg=starting module=*metrics.InternalMetricsService
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.234881715Z level=info msg=starting module=*api.HTTPServer
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.234880015Z level=info msg=starting module=*angulardetectorsprovider.Dynamic
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.234911316Z level=info msg=starting module=*pluginexternal.Service
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.234934816Z level=info msg=starting module=*pushhttp.Gateway
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.234973417Z level=info msg=starting module=*cleanup.CleanUpService
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.234992718Z level=info msg=starting module=*updatemanager.PluginsService
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235008518Z level=info msg=starting module=*garbagecollectionworker.Worker
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235011418Z level=info msg=starting module=*dualwrite.ZanzanaReconciler
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235039019Z level=info msg=starting module=*manager.ServiceAccountsService
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235054419Z level=info msg=starting module=*ngalert.AlertNG
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235076719Z level=info msg=starting module=*dynamic.KeyRetriever
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.23508582Z level=info msg=starting module=*migrations.SecretMigrationProviderImpl
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.23508652Z level=info msg=starting module=*rendering.RenderingService
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.23510202Z level=info msg=starting module=*authz.EmbeddedZanzanaService
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235129021Z level=info msg=starting module=*updatemanager.GrafanaService
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235133221Z level=info msg=starting module=*notifications.NotificationService
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.23510462Z level=info msg=starting module=*live.GrafanaLive
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235172921Z level=info msg=starting module=*appregistry.Service
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235179622Z level=info msg=starting module=*loginattemptimpl.Service
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.23510872Z level=info msg=starting module=*service.DashboardUpdater
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235217122Z level=info msg=starting module=*ssosettingsimpl.Service
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.234838614Z level=info msg=starting module=*authimpl.UserAuthTokenService
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235164021Z level=info msg=starting module=*service.UsageStats
grafana-1  | logger=app-registry t=2026-03-21T15:56:43.235197722Z level=info msg="app registry initialized"
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235042619Z level=info msg=starting module=*metric.Service
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235194022Z level=info msg=starting module=*store.standardStorageService
grafana-1  | logger=grafanaStorageLogger t=2026-03-21T15:56:43.235443127Z level=info msg="Storage starting"
grafana-1  | logger=ngalert t=2026-03-21T15:56:43.23510242Z level=info msg="Primary node, alert rule evaluation enabled"
grafana-1  | logger=ngalert.state.manager t=2026-03-21T15:56:43.235463028Z level=info msg="Warming state cache for startup"
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235206822Z level=info msg=starting module=*statscollector.Service
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.234963217Z level=info msg=starting module=*anonimpl.AnonDeviceService
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235206922Z level=info msg=starting module=*store.dummyEntityEventsService
grafana-1  | logger=ngalert.multiorg.alertmanager t=2026-03-21T15:56:43.235143521Z level=info msg="Starting MultiOrg Alertmanager"
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235042819Z level=info msg=starting module=*manager.SecretsService
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235051019Z level=info msg=starting module=*service.DashboardServiceImpl
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.235639131Z level=info msg="All modules healthy"
grafana-1  | logger=http.server t=2026-03-21T15:56:43.238469392Z level=info msg="HTTP Server Listen" address=[::]:3000 protocol=http subUrl= socket=
grafana-1  | logger=ngalert.state.manager t=2026-03-21T15:56:43.238921702Z level=info msg="State cache has been initialized" states=0 duration=3.457474ms
grafana-1  | logger=ngalert.scheduler t=2026-03-21T15:56:43.238963403Z level=info msg="Starting scheduler" tickInterval=10s maxAttempts=3
grafana-1  | logger=ngalert.scheduler t=2026-03-21T15:56:43.239003704Z level=info msg=starting component=ticker first_tick=2026-03-21T15:56:50Z
grafana-1  | logger=plugins.update.checker t=2026-03-21T15:56:51.405763199Z level=info msg="Update check succeeded" duration=8.170736481s
grafana-1  | logger=plugins.update.checker t=2026-03-21T15:56:51.4058201Z level=info msg="flag evaluation succeeded" flag="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}" details="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}"
grafana-1  | logger=grafana.update.checker t=2026-03-21T15:56:51.412286041Z level=info msg="Update check succeeded" duration=8.17711082s
grafana-1  | logger=dashboard-service t=2026-03-21T15:57:13.274432607Z level=info msg="No last resource version found, starting from scratch" orgID=1
grafana-1  | logger=dashboard-service t=2026-03-21T15:57:43.270150638Z level=info msg="No last resource version found, starting from scratch" orgID=1
grafana-1  | logger=dashboard-service t=2026-03-21T15:58:13.271195269Z level=info msg="No last resource version found, starting from scratch" orgID=1
